what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1327261413835
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1327261413916
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1327261413939
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1327261413943
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1327261414021
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1327261414086
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1327261414133
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1327261414198
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1327261414278
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1327261414329
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1327261414389
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1327261414438
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1327261414514
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1327261414634
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1327261414836
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1327261414838
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1327261415496
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1327261415510
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1327261416423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261416781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261420001
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327261420085
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1327261420157
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1327261420396
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.BreakpointView",1327261420463
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1327261426732
started,bundle,org.eclipse.dltk.debug,2.0.0.v20091110-1532,"org.eclipse.dltk.debug",1327261428118
started,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1327261428154
started,bundle,org.eclipse.dltk.console,1.0.0.v20090730-1127,"org.eclipse.dltk.console",1327261428167
started,bundle,org.eclipse.dltk.console.ui,2.0.0.v20091203-1154,"org.eclipse.dltk.console.ui",1327261428176
opened,view,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui.ScriptDisplayView",1327261428319
activated,view,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui.ScriptDisplayView",1327261428405
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261431200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261450173
opened,view,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.DisplayView",1327261456663
activated,view,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.DisplayView",1327261456689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1327261456718
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1327261465517
activated,view,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.DisplayView",1327261470668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261481095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261492063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261494199
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Display",1327261494284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261496549
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Display",1327261496625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261501693
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Display",1327261501740
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261504116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261504512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261510171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261513909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327261516821
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Display",1327261516866
